drummer,session,id,style,bpm,beat_type,time_signature,duration,split,midi_filename,audio_filename,kit_name,split_set
drummer1,drummer1/session2,drummer1/session2/153,gospel,120,fill,4-4,1.855056689342404,train,drummer1/session2/153_gospel_120_fill_4-4_15.midi,drummer1/session2/153_gospel_120_fill_4-4_15.wav,60s Rock,test
drummer1,drummer1/session2,drummer1/session2/38,punk,128,fill,4-4,1.8750113378684807,validation,drummer1/session2/38_punk_128_fill_4-4_24.midi,drummer1/session2/38_punk_128_fill_4-4_24.wav,Heavy Metal,train
drummer1,drummer1/session1,drummer1/session1/17,jazz/funk,116,fill,4-4,4.137936507936508,validation,drummer1/session1/17_jazz-funk_116_fill_4-4_4.midi,drummer1/session1/17_jazz-funk_116_fill_4-4_4.wav,Speed Metal,test
drummer1,drummer1/session2,drummer1/session2/145,gospel,120,fill,4-4,1.8829478458049889,train,drummer1/session2/145_gospel_120_fill_4-4_21.midi,drummer1/session2/145_gospel_120_fill_4-4_21.wav,Pop-Rock (Studio),validation
drummer1,drummer1/session2,drummer1/session2/83,punk,144,fill,4-4,1.503718820861678,train,drummer1/session2/83_punk_144_fill_4-4_34.midi,drummer1/session2/83_punk_144_fill_4-4_34.wav,Alternative (METAL),train
drummer1,drummer1/session1,drummer1/session1/32,latin/samba,116,fill,4-4,2.0689569160997734,train,drummer1/session1/32_latin-samba_116_fill_4-4_43.midi,drummer1/session1/32_latin-samba_116_fill_4-4_43.wav,Funk Rock,validation
drummer1,drummer1/session2,drummer1/session2/129,afrocuban/bembe,122,fill,4-4,1.6135374149659865,train,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_1.midi,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_1.wav,Acoustic Kit,validation
drummer1,drummer1/session2,drummer1/session2/191,rock,115,fill,4-4,2.086961451247165,train,drummer1/session2/191_rock_115_fill_4-4_12.midi,drummer1/session2/191_rock_115_fill_4-4_12.wav,Classic Rock,validation
drummer1,drummer1/session2,drummer1/session2/45,punk,128,fill,4-4,1.859614512471656,train,drummer1/session2/45_punk_128_fill_4-4_11.midi,drummer1/session2/45_punk_128_fill_4-4_11.wav,Studio (Live Room),test
drummer1,drummer1/session2,drummer1/session2/34,punk,128,beat,4-4,7.17,train,drummer1/session2/34_punk_128_beat_4-4_6.midi,drummer1/session2/34_punk_128_beat_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session1,drummer1/session1/205,rock/halftime,140,fill,4-4,3.4285714285714284,validation,drummer1/session1/205_rock-halftime_140_fill_4-4_52.midi,drummer1/session1/205_rock-halftime_140_fill_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/153,gospel,120,fill,4-4,1.88843537414966,train,drummer1/session2/153_gospel_120_fill_4-4_23.midi,drummer1/session2/153_gospel_120_fill_4-4_23.wav,Second Line,train
drummer1,drummer1/session2,drummer1/session2/4,jazz,120,beat,3-4,131.734126984127,train,drummer1/session2/4_jazz_120_beat_3-4_19.midi,drummer1/session2/4_jazz_120_beat_3-4_19.wav,Raw Dnb (Layered Hybrid),validation
drummer1,drummer1/session2,drummer1/session2/119,afrocuban/bembe,122,fill,4-4,1.9672108843537413,test,drummer1/session2/119_afrocuban-bembe_122_fill_4-4_33.midi,drummer1/session2/119_afrocuban-bembe_122_fill_4-4_33.wav,Shuffle (Blues),train
drummer1,drummer1/session1,drummer1/session1/157,latin/brazilian-baiao,95,fill,4-4,2.5263038548752834,validation,drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4_52.midi,drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/108,funk/rock,92,fill,4-4,2.6087074829931973,train,drummer1/session2/108_funk-rock_92_fill_4-4_54.midi,drummer1/session2/108_funk-rock_92_fill_4-4_54.wav,Nu RNB,train
drummer1,drummer1/session1,drummer1/session1/224,rock/halftime,140,fill,4-4,1.7142857142857142,train,drummer1/session1/224_rock-halftime_140_fill_4-4_37.midi,drummer1/session1/224_rock-halftime_140_fill_4-4_37.wav,Live Fusion,train
drummer1,drummer1/session2,drummer1/session2/52,punk,128,fill,4-4,1.7603628117913832,train,drummer1/session2/52_punk_128_fill_4-4_24.midi,drummer1/session2/52_punk_128_fill_4-4_24.wav,Heavy Metal,train
drummer1,drummer1/session2,drummer1/session2/123,afrocuban/bembe,122,fill,4-4,1.9672108843537413,train,drummer1/session2/123_afrocuban-bembe_122_fill_4-4_43.midi,drummer1/session2/123_afrocuban-bembe_122_fill_4-4_43.wav,Funk Rock,train
drummer1,drummer1/session1,drummer1/session1/38,latin/samba,116,beat,4-4,57.91485260770975,validation,drummer1/session1/38_latin-samba_116_beat_4-4_41.midi,drummer1/session1/38_latin-samba_116_beat_4-4_41.wav,Cassette (Lo-Fi Compress),train
drummer1,drummer1/session1,drummer1/session1/261,funk/purdieshuffle,130,fill,4-4,1.8461451247165528,validation,drummer1/session1/261_funk-purdieshuffle_130_fill_4-4_28.midi,drummer1/session1/261_funk-purdieshuffle_130_fill_4-4_28.wav,Super Boom (Layered),validation
drummer1,drummer1/session2,drummer1/session2/159,gospel,120,fill,4-4,1.893265306122449,train,drummer1/session2/159_gospel_120_fill_4-4_12.midi,drummer1/session2/159_gospel_120_fill_4-4_12.wav,Classic Rock,validation
drummer1,drummer1/session1,drummer1/session1/34,latin/samba,116,fill,4-4,2.0689569160997734,train,drummer1/session1/34_latin-samba_116_fill_4-4_10.midi,drummer1/session1/34_latin-samba_116_fill_4-4_10.wav,JingleStacks (2nd Hi-Hat),train
drummer1,drummer1/session1,drummer1/session1/213,rock/halftime,140,fill,4-4,1.7142857142857142,train,drummer1/session1/213_rock-halftime_140_fill_4-4_23.midi,drummer1/session1/213_rock-halftime_140_fill_4-4_23.wav,Second Line,validation
drummer1,drummer1/session2,drummer1/session2/193,rock,115,fill,4-4,1.8270521541950115,train,drummer1/session2/193_rock_115_fill_4-4_42.midi,drummer1/session2/193_rock_115_fill_4-4_42.wav,Bigga Bop (Jazz),train
drummer1,drummer1/session1,drummer1/session1/243,funk/purdieshuffle,130,fill,4-4,1.7115419501133786,train,drummer1/session1/243_funk-purdieshuffle_130_fill_4-4_56.midi,drummer1/session1/243_funk-purdieshuffle_130_fill_4-4_56.wav,Custom1,train
drummer1,drummer1/session1,drummer1/session1/10,jazz/funk,116,fill,4-4,2.0689569160997734,train,drummer1/session1/10_jazz-funk_116_fill_4-4_37.midi,drummer1/session1/10_jazz-funk_116_fill_4-4_37.wav,Live Fusion,validation
drummer1,drummer1/session1,drummer1/session1/212,rock/halftime,140,fill,4-4,1.7142857142857142,test,drummer1/session1/212_rock-halftime_140_fill_4-4_22.midi,drummer1/session1/212_rock-halftime_140_fill_4-4_22.wav,Dry & Heavy (Folk Rock),train
drummer1,drummer1/session1,drummer1/session1/72,jazz,125,fill,4-4,1.92,train,drummer1/session1/72_jazz_125_fill_4-4_42.midi,drummer1/session1/72_jazz_125_fill_4-4_42.wav,Bigga Bop (Jazz),train
drummer1,drummer1/session2,drummer1/session2/129,afrocuban/bembe,122,fill,4-4,1.5903174603174604,train,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_37.midi,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_37.wav,Live Fusion,train
drummer1,drummer1/session2,drummer1/session2/118,afrocuban/bembe,122,fill,4-4,1.9672108843537413,train,drummer1/session2/118_afrocuban-bembe_122_fill_4-4_6.midi,drummer1/session2/118_afrocuban-bembe_122_fill_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session1,drummer1/session1/163,latin/brazilian-baiao,95,fill,4-4,2.526326530612245,train,drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4_13.midi,drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4_13.wav,Jazz Funk,train
drummer1,drummer1/session2,drummer1/session2/115,afrocuban/bembe,122,fill,4-4,1.9057596371882088,train,drummer1/session2/115_afrocuban-bembe_122_fill_4-4_51.midi,drummer1/session2/115_afrocuban-bembe_122_fill_4-4_51.wav,808 Simple,test
drummer1,drummer1/session2,drummer1/session2/123,afrocuban/bembe,122,fill,4-4,1.9672108843537413,train,drummer1/session2/123_afrocuban-bembe_122_fill_4-4_51.midi,drummer1/session2/123_afrocuban-bembe_122_fill_4-4_51.wav,808 Simple,train
drummer1,drummer1/session2,drummer1/session2/129,afrocuban/bembe,122,fill,4-4,1.6106349206349206,train,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_54.midi,drummer1/session2/129_afrocuban-bembe_122_fill_4-4_54.wav,Nu RNB,train
drummer1,drummer1/session2,drummer1/session2/116,afrocuban/bembe,122,fill,4-4,1.9672108843537413,test,drummer1/session2/116_afrocuban-bembe_122_fill_4-4_56.midi,drummer1/session2/116_afrocuban-bembe_122_fill_4-4_56.wav,Custom1,train
drummer1,drummer1/session1,drummer1/session1/142,funk/fast,125,fill,4-4,1.92,train,drummer1/session1/142_funk-fast_125_fill_4-4_55.midi,drummer1/session1/142_funk-fast_125_fill_4-4_55.wav,Ele-Drum,validation
drummer1,drummer1/session2,drummer1/session2/111,rock/prog,110,beat,5-4,141.81818594104308,train,drummer1/session2/111_rock-prog_110_beat_5-4_55.midi,drummer1/session2/111_rock-prog_110_beat_5-4_55.wav,Ele-Drum,train
drummer1,drummer1/session2,drummer1/session2/120,afrocuban/bembe,122,fill,4-4,1.967233560090703,train,drummer1/session2/120_afrocuban-bembe_122_fill_4-4_15.midi,drummer1/session2/120_afrocuban-bembe_122_fill_4-4_15.wav,60s Rock,train
drummer1,drummer1/session1,drummer1/session1/10,jazz/funk,116,fill,4-4,2.0689569160997734,train,drummer1/session1/10_jazz-funk_116_fill_4-4_31.midi,drummer1/session1/10_jazz-funk_116_fill_4-4_31.wav,More Cowbell (Pop-Rock),validation
drummer1,drummer1/session2,drummer1/session2/2,latin/chacarera,118,beat,4-4,134.23727891156463,train,drummer1/session2/2_latin-chacarera_118_beat_4-4_5.midi,drummer1/session2/2_latin-chacarera_118_beat_4-4_5.wav,Tight Prog,train
drummer1,drummer1/session2,drummer1/session2/79,punk,144,fill,4-4,1.6666666666666667,validation,drummer1/session2/79_punk_144_fill_4-4_8.midi,drummer1/session2/79_punk_144_fill_4-4_8.wav,Deep Daft,train
drummer1,drummer1/session2,drummer1/session2/169,afrocuban/rhumba,110,fill,4-4,2.1340136054421768,train,drummer1/session2/169_afrocuban-rhumba_110_fill_4-4_19.midi,drummer1/session2/169_afrocuban-rhumba_110_fill_4-4_19.wav,Raw Dnb (Layered Hybrid),train
drummer1,drummer1/session1,drummer1/session1/237,rock/halftime,140,fill,4-4,1.7142857142857142,train,drummer1/session1/237_rock-halftime_140_fill_4-4_44.midi,drummer1/session1/237_rock-halftime_140_fill_4-4_44.wav,Alternative (Rock),train
drummer1,drummer1/session2,drummer1/session2/191,rock,115,fill,4-4,2.086961451247165,train,drummer1/session2/191_rock_115_fill_4-4_18.midi,drummer1/session2/191_rock_115_fill_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/session2,drummer1/session2/170,afrocuban/rhumba,110,fill,4-4,2.053854875283447,train,drummer1/session2/170_afrocuban-rhumba_110_fill_4-4_56.midi,drummer1/session2/170_afrocuban-rhumba_110_fill_4-4_56.wav,Custom1,train
drummer1,drummer1/session2,drummer1/session2/50,punk,128,fill,4-4,1.8749886621315195,train,drummer1/session2/50_punk_128_fill_4-4_52.midi,drummer1/session2/50_punk_128_fill_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/142,gospel,120,beat,4-4,139.55993197278912,validation,drummer1/session2/142_gospel_120_beat_4-4_6.midi,drummer1/session2/142_gospel_120_beat_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session2,drummer1/session2/193,rock,115,fill,4-4,1.8502721088435368,train,drummer1/session2/193_rock_115_fill_4-4_37.midi,drummer1/session2/193_rock_115_fill_4-4_37.wav,Live Fusion,train
drummer1,drummer1/session1,drummer1/session1/124,funk,95,fill,4-4,2.5263038548752834,train,drummer1/session1/124_funk_95_fill_4-4_13.midi,drummer1/session1/124_funk_95_fill_4-4_13.wav,Jazz Funk,train
drummer1,drummer1/session1,drummer1/session1/55,jazz,125,fill,4-4,1.92,train,drummer1/session1/55_jazz_125_fill_4-4_8.midi,drummer1/session1/55_jazz_125_fill_4-4_8.wav,Deep Daft,validation
drummer1,drummer1/session2,drummer1/session2/139,afrocuban/bembe,122,fill,4-4,1.9672108843537413,train,drummer1/session2/139_afrocuban-bembe_122_fill_4-4_41.midi,drummer1/session2/139_afrocuban-bembe_122_fill_4-4_41.wav,Cassette (Lo-Fi Compress),train
drummer1,drummer1/session1,drummer1/session1/265,funk/purdieshuffle,130,fill,4-4,1.8461451247165528,train,drummer1/session1/265_funk-purdieshuffle_130_fill_4-4_36.midi,drummer1/session1/265_funk-purdieshuffle_130_fill_4-4_36.wav,West Coast (FUNK),train
drummer1,drummer1/session1,drummer1/session1/145,latin/brazilian-baiao,95,beat,4-4,30.31580498866213,validation,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4_25.midi,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4_25.wav,Arena Stage,train
drummer1,drummer1/session2,drummer1/session2/147,gospel,120,fill,4-4,1.9277324263038549,train,drummer1/session2/147_gospel_120_fill_4-4_26.midi,drummer1/session2/147_gospel_120_fill_4-4_26.wav,Warmer Funk,train
drummer1,drummer1/session1,drummer1/session1/53,jazz,125,fill,4-4,1.92,train,drummer1/session1/53_jazz_125_fill_4-4_6.midi,drummer1/session1/53_jazz_125_fill_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session2,drummer1/session2/115,afrocuban/bembe,122,fill,4-4,1.9057596371882088,train,drummer1/session2/115_afrocuban-bembe_122_fill_4-4_35.midi,drummer1/session2/115_afrocuban-bembe_122_fill_4-4_35.wav,Rockin Gate (80s),train
drummer1,drummer1/session2,drummer1/session2/113,afrocuban/bembe,122,fill,4-4,1.9185487528344671,train,drummer1/session2/113_afrocuban-bembe_122_fill_4-4_35.midi,drummer1/session2/113_afrocuban-bembe_122_fill_4-4_35.wav,Rockin Gate (80s),train
drummer1,drummer1/session2,drummer1/session2/55,punk,128,fill,4-4,1.7796825396825398,train,drummer1/session2/55_punk_128_fill_4-4_43.midi,drummer1/session2/55_punk_128_fill_4-4_43.wav,Funk Rock,train
drummer1,drummer1/session1,drummer1/session1/23,jazz/funk,116,fill,4-4,2.068979591836735,train,drummer1/session1/23_jazz-funk_116_fill_4-4_23.midi,drummer1/session1/23_jazz-funk_116_fill_4-4_23.wav,Second Line,train
drummer1,drummer1/session1,drummer1/session1/164,latin/brazilian-baiao,95,fill,4-4,2.526326530612245,train,drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4_51.midi,drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4_51.wav,808 Simple,train
drummer1,drummer1/session2,drummer1/session2/54,punk,128,fill,4-4,1.7560090702947846,train,drummer1/session2/54_punk_128_fill_4-4_36.midi,drummer1/session2/54_punk_128_fill_4-4_36.wav,West Coast (FUNK),train
drummer1,drummer1/session1,drummer1/session1/151,latin/brazilian-baiao,95,fill,4-4,2.526326530612245,train,drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4_55.midi,drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4_55.wav,Ele-Drum,train
drummer1,drummer1/session1,drummer1/session1/124,funk,95,fill,4-4,2.5263038548752834,train,drummer1/session1/124_funk_95_fill_4-4_3.midi,drummer1/session1/124_funk_95_fill_4-4_3.wav,Jazz,train
drummer1,drummer1/session2,drummer1/session2/24,country,114,fill,4-4,1.996485260770975,test,drummer1/session2/24_country_114_fill_4-4_6.midi,drummer1/session2/24_country_114_fill_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session2,drummer1/session2/194,rock,115,fill,4-4,2.086938775510204,train,drummer1/session2/194_rock_115_fill_4-4_4.midi,drummer1/session2/194_rock_115_fill_4-4_4.wav,Speed Metal,train
drummer1,drummer1/session1,drummer1/session1/51,rock/shuffle,125,beat,4-4,170.80848072562358,train,drummer1/session1/51_rock-shuffle_125_beat_4-4_1.midi,drummer1/session1/51_rock-shuffle_125_beat_4-4_1.wav,Acoustic Kit,train
drummer1,drummer1/session1,drummer1/session1/251,funk/purdieshuffle,130,fill,4-4,1.8461451247165528,train,drummer1/session1/251_funk-purdieshuffle_130_fill_4-4_10.midi,drummer1/session1/251_funk-purdieshuffle_130_fill_4-4_10.wav,JingleStacks (2nd Hi-Hat),train
drummer1,drummer1/session1,drummer1/session1/230,rock/halftime,140,fill,4-4,3.3517687074829934,train,drummer1/session1/230_rock-halftime_140_fill_4-4_21.midi,drummer1/session1/230_rock-halftime_140_fill_4-4_21.wav,Pop-Rock (Studio),train
drummer1,drummer1/session2,drummer1/session2/86,punk,144,fill,4-4,1.6584580498866213,test,drummer1/session2/86_punk_144_fill_4-4_18.midi,drummer1/session2/86_punk_144_fill_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/session1,drummer1/session1/168,latin/brazilian-baiao,95,fill,4-4,2.526326530612245,train,drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4_18.midi,drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/session3,drummer1/session3/12,latin/bomba,96,beat,4-4,222.3629931972789,validation,drummer1/session3/12_latin-bomba_96_beat_4-4_18.midi,drummer1/session3/12_latin-bomba_96_beat_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/session1,drummer1/session1/171,latin/brazilian-baiao,95,fill,4-4,2.451315192743764,validation,drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4_23.midi,drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4_23.wav,Second Line,train
drummer1,drummer1/session1,drummer1/session1/230,rock/halftime,140,fill,4-4,3.3517687074829934,train,drummer1/session1/230_rock-halftime_140_fill_4-4_58.midi,drummer1/session1/230_rock-halftime_140_fill_4-4_58.wav,Custom3,train
drummer1,drummer1/session1,drummer1/session1/14,jazz/funk,116,fill,4-4,4.137936507936508,train,drummer1/session1/14_jazz-funk_116_fill_4-4_2.midi,drummer1/session1/14_jazz-funk_116_fill_4-4_2.wav,Fat Rock (Power Toms),train
drummer1,drummer1/session1,drummer1/session1/222,rock/halftime,140,fill,4-4,1.7142857142857142,train,drummer1/session1/222_rock-halftime_140_fill_4-4_15.midi,drummer1/session1/222_rock-halftime_140_fill_4-4_15.wav,60s Rock,validation
drummer1,drummer1/session1,drummer1/session1/46,latin/samba,116,fill,4-4,2.064648526077097,train,drummer1/session1/46_latin-samba_116_fill_4-4_21.midi,drummer1/session1/46_latin-samba_116_fill_4-4_21.wav,Pop-Rock (Studio),train
drummer1,drummer1/session2,drummer1/session2/108,funk/rock,92,fill,4-4,2.6087074829931973,train,drummer1/session2/108_funk-rock_92_fill_4-4_4.midi,drummer1/session2/108_funk-rock_92_fill_4-4_4.wav,Speed Metal,test
drummer1,drummer1/session2,drummer1/session2/132,afrocuban/bembe,122,fill,4-4,1.9379818594104308,train,drummer1/session2/132_afrocuban-bembe_122_fill_4-4_26.midi,drummer1/session2/132_afrocuban-bembe_122_fill_4-4_26.wav,Warmer Funk,train
drummer1,drummer1/session2,drummer1/session2/85,punk,144,fill,4-4,1.6666666666666667,train,drummer1/session2/85_punk_144_fill_4-4_55.midi,drummer1/session2/85_punk_144_fill_4-4_55.wav,Ele-Drum,test
drummer1,drummer1/session2,drummer1/session2/42,punk,128,fill,4-4,1.7763945578231293,train,drummer1/session2/42_punk_128_fill_4-4_22.midi,drummer1/session2/42_punk_128_fill_4-4_22.wav,Dry & Heavy (Folk Rock),train
drummer1,drummer1/session2,drummer1/session2/174,afrocuban/rhumba,110,fill,4-4,2.069183673469388,train,drummer1/session2/174_afrocuban-rhumba_110_fill_4-4_18.midi,drummer1/session2/174_afrocuban-rhumba_110_fill_4-4_18.wav,Big Room (Layered),test
drummer1,drummer1/session2,drummer1/session2/121,afrocuban/bembe,122,fill,4-4,1.9380272108843537,train,drummer1/session2/121_afrocuban-bembe_122_fill_4-4_42.midi,drummer1/session2/121_afrocuban-bembe_122_fill_4-4_42.wav,Bigga Bop (Jazz),train
drummer1,drummer1/session2,drummer1/session2/72,punk,144,fill,4-4,1.6224943310657596,train,drummer1/session2/72_punk_144_fill_4-4_35.midi,drummer1/session2/72_punk_144_fill_4-4_35.wav,Rockin Gate (80s),train
drummer1,drummer1/session2,drummer1/session2/89,punk,144,fill,4-4,1.6280498866213151,train,drummer1/session2/89_punk_144_fill_4-4_4.midi,drummer1/session2/89_punk_144_fill_4-4_4.wav,Speed Metal,validation
drummer1,drummer1/session2,drummer1/session2/190,rock,115,fill,4-4,2.086961451247165,train,drummer1/session2/190_rock_115_fill_4-4_18.midi,drummer1/session2/190_rock_115_fill_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/session3,drummer1/session3/6,dance/disco,120,beat,4-4,226.0,train,drummer1/session3/6_dance-disco_120_beat_4-4_58.midi,drummer1/session3/6_dance-disco_120_beat_4-4_58.wav,Custom3,train
drummer1,drummer1/session1,drummer1/session1/176,afrocuban,105,beat,4-4,223.92857142857144,train,drummer1/session1/176_afrocuban_105_beat_4-4_52.midi,drummer1/session1/176_afrocuban_105_beat_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/108,funk/rock,92,fill,4-4,2.6087074829931973,train,drummer1/session2/108_funk-rock_92_fill_4-4_16.midi,drummer1/session2/108_funk-rock_92_fill_4-4_16.wav,Modern Funk,train
drummer1,drummer1/session1,drummer1/session1/115,funk,95,fill,4-4,2.526326530612245,train,drummer1/session1/115_funk_95_fill_4-4_25.midi,drummer1/session1/115_funk_95_fill_4-4_25.wav,Arena Stage,test
drummer1,drummer1/session1,drummer1/session1/143,funk/fast,125,fill,4-4,1.92,train,drummer1/session1/143_funk-fast_125_fill_4-4_18.midi,drummer1/session1/143_funk-fast_125_fill_4-4_18.wav,Big Room (Layered),train
drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,65,beat,4-4,59.01444444444444,test,drummer1/eval_session/8_rock-groove8_65_beat_4-4_6.midi,drummer1/eval_session/8_rock-groove8_65_beat_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session2,drummer1/session2/42,punk,128,fill,4-4,1.873628117913832,train,drummer1/session2/42_punk_128_fill_4-4_52.midi,drummer1/session2/42_punk_128_fill_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/132,afrocuban/bembe,122,fill,4-4,1.96265306122449,train,drummer1/session2/132_afrocuban-bembe_122_fill_4-4_23.midi,drummer1/session2/132_afrocuban-bembe_122_fill_4-4_23.wav,Second Line,train
drummer1,drummer1/session1,drummer1/session1/175,latin/brazilian-baiao,95,fill,4-4,2.5263038548752834,train,drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4_4.midi,drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4_4.wav,Speed Metal,train
drummer1,drummer1/session2,drummer1/session2/4,jazz,120,beat,3-4,131.7704081632653,train,drummer1/session2/4_jazz_120_beat_3-4_31.midi,drummer1/session2/4_jazz_120_beat_3-4_31.wav,More Cowbell (Pop-Rock),train
drummer1,drummer1/session2,drummer1/session2/32,punk,140,beat,4-4,150.85714285714286,train,drummer1/session2/32_punk_140_beat_4-4_34.midi,drummer1/session2/32_punk_140_beat_4-4_34.wav,Alternative (METAL),train
drummer1,drummer1/session1,drummer1/session1/27,jazz/funk,116,fill,4-4,2.0689569160997734,train,drummer1/session1/27_jazz-funk_116_fill_4-4_8.midi,drummer1/session1/27_jazz-funk_116_fill_4-4_8.wav,Deep Daft,train
drummer1,drummer1/session3,drummer1/session3/11,afrobeat,94,beat,4-4,257.87233560090704,train,drummer1/session3/11_afrobeat_94_beat_4-4_11.midi,drummer1/session3/11_afrobeat_94_beat_4-4_11.wav,Studio (Live Room),validation
drummer1,drummer1/session2,drummer1/session2/154,gospel,120,fill,4-4,1.933061224489796,train,drummer1/session2/154_gospel_120_fill_4-4_56.midi,drummer1/session2/154_gospel_120_fill_4-4_56.wav,Custom1,train
